run_id,path,success,kappa_MproTa,kappa_MhproTa,kappa_TbMpro,kappa_TaManti,d_ABoo,AP
0,sims/run_0000.npz,True,0.1660934072833945,0.11583176596280785,0.35757937597341477,0.3092104087178092,0.09618990327472114,0.0
1,sims/run_0001.npz,True,0.16417095529855297,0.1679096457915431,0.13843408980266378,0.23511578136867015,0.15842955545233078,0.0
2,sims/run_0002.npz,True,0.14657976801209968,0.1734142419906245,0.23302425964819934,0.16817161653543308,0.1997815770785628,1.0
3,sims/run_0003.npz,True,0.17414467579888732,0.14474965986830973,0.32742632202561217,0.20635779043896052,0.2934070554888532,0.0
4,sims/run_0004.npz,True,0.1667575245610643,0.07919580617779515,0.24001630111811023,0.11314112973616863,0.10971513571519825,0.0
5,sims/run_0005.npz,True,0.1617143233861726,0.19512645986513152,0.1977476074414456,0.21113791181046065,0.18065005753705676,1.0
6,sims/run_0006.npz,True,0.06948822580032075,0.12135573893389007,0.16807280471526523,0.30094419840475317,0.1733591817462744,0.0
7,sims/run_0007.npz,True,0.15503976530033736,0.09685499620730616,0.3496779404185604,0.3414293072490406,0.16218263528178925,1.0
8,sims/run_0008.npz,True,0.15237432559624633,0.07096287254139648,0.1599724607425325,0.10220868092530165,0.25205798493798115,0.0
9,sims/run_0009.npz,True,0.15577480679395028,0.16710935465329518,0.237674732661502,0.27062235878586816,0.10645432457872292,1.0
10,sims/run_0010.npz,True,0.15026044426857077,0.12066443092146989,0.26957083194435666,0.3294996572248077,0.21781162200013293,0.0
11,sims/run_0011.npz,True,0.13388107411181202,0.09559251470939184,0.10924535037038181,0.2310152167697087,0.12328155138439406,0.0
12,sims/run_0012.npz,True,0.17801046099022494,0.08509092287980112,0.11749082250671981,0.18441516760659896,0.1410585954975038,0.0
13,sims/run_0013.npz,True,0.13355482285119177,0.16758473136596203,0.29929406209821624,0.22191605843202114,0.2581545865498578,1.0
14,sims/run_0014.npz,True,0.05340681097007907,0.06350717911634628,0.3167078051789351,0.23856316907541625,0.1112861502825604,0.0
15,sims/run_0015.npz,True,0.07284681540697527,0.15444805626166042,0.23384688267220924,0.21430636782894474,0.1428402200582722,0.0
16,sims/run_0016.npz,True,0.10427189158300856,0.06314748789741516,0.1354017706361546,0.3885692993648544,0.2794306554092116,0.0
17,sims/run_0017.npz,True,0.08988049421892795,0.1953764566021586,0.3336252711897384,0.31506705674769875,0.17610633798235245,1.0
18,sims/run_0018.npz,True,0.0644586443230249,0.18539035948157626,0.23673288695008332,0.1607090094385691,0.1438402404338968,0.0
19,sims/run_0019.npz,True,0.07651591744088476,0.17849214261385635,0.32755585895056305,0.31583888678528105,0.17222093394939833,0.0
20,sims/run_0020.npz,True,0.13761469533691034,0.147476990233223,0.12533329634196674,0.22474222065118288,0.0843631891189258,0.0
21,sims/run_0021.npz,True,0.0994791818499178,0.07167862832990704,0.1310208903167655,0.27629337165331364,0.11338341792079937,0.0
22,sims/run_0022.npz,True,0.13715917095505925,0.10203047068022558,0.27727464744442504,0.10684116130890926,0.2906758229793252,0.0
23,sims/run_0023.npz,True,0.16741028408754294,0.062409499988365785,0.24599749925144812,0.2472120983063563,0.28601095236937113,0.0
