sample_id,ordering,kendall_tau,t_peak_IL1,t_peak_IL12,t_peak_IL10
175,IL1<IL10<IL12,0.33333333333333337,0.0,0.25,0.0
176,IL10<IL12<IL1,-1.0,0.5,0.25,0.0
177,IL1<IL12<IL10,1.0,2.75,6.25,120.0
178,IL12<IL10<IL1,-0.33333333333333337,76.0,5.5,10.75
179,IL1<IL12<IL10,1.0,0.75,2.5,22.75
180,IL1<IL12<IL10,1.0,0.0,0.25,120.0
181,IL1<IL12<IL10,1.0,0.25,0.25,0.25
182,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,0.0
183,IL1<IL12<IL10,1.0,0.25,0.75,120.0
184,IL1<IL10<IL12,0.33333333333333337,0.0,3.0,0.0
185,IL12<IL1<IL10,0.33333333333333337,1.5,1.25,6.25
186,IL1<IL12<IL10,1.0,120.0,120.0,120.0
187,IL1<IL12<IL10,1.0,0.75,3.0,4.0
188,IL1<IL12<IL10,1.0,0.25,0.25,120.0
189,IL1<IL12<IL10,1.0,0.5,2.75,120.0
190,IL1<IL12<IL10,1.0,0.25,8.25,120.0
191,IL1<IL12<IL10,1.0,120.0,120.0,120.0
192,IL1<IL12<IL10,1.0,0.0,0.0,60.75
193,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,16.5
194,IL1<IL12<IL10,1.0,0.25,0.25,41.5
195,IL1<IL12<IL10,1.0,2.0,3.75,120.0
196,IL1<IL12<IL10,1.0,0.0,0.0,0.0
197,IL1<IL12<IL10,1.0,0.5,0.75,120.0
198,IL1<IL12<IL10,1.0,0.5,8.75,120.0
199,IL10<IL1<IL12,-0.33333333333333337,0.25,120.0,0.0
200,IL12<IL1<IL10,0.33333333333333337,0.25,0.0,2.75
201,IL1<IL10<IL12,0.33333333333333337,0.0,120.0,0.0
202,IL12<IL1<IL10,0.33333333333333337,4.0,3.0,120.0
203,IL1<IL12<IL10,1.0,0.25,0.25,1.25
204,IL1<IL12<IL10,1.0,0.75,0.75,120.0
205,IL1<IL12<IL10,1.0,0.0,120.0,120.0
206,IL12<IL10<IL1,-0.33333333333333337,120.0,12.25,22.75
207,IL1<IL12<IL10,1.0,0.0,0.0,120.0
208,IL10<IL12<IL1,-1.0,3.25,3.0,1.0
209,IL1<IL12<IL10,1.0,0.0,0.0,9.0
210,IL12<IL1<IL10,0.33333333333333337,1.75,0.75,4.25
211,IL1<IL12<IL10,1.0,0.25,0.25,0.5
212,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,0.0
213,IL1<IL12<IL10,1.0,0.75,1.5,120.0
214,IL12<IL1<IL10,0.33333333333333337,1.75,1.5,120.0
215,IL10<IL1<IL12,-0.33333333333333337,1.5,3.5,0.0
216,IL1<IL12<IL10,1.0,0.25,0.25,85.25
217,IL10<IL1<IL12,-0.33333333333333337,0.25,5.0,0.0
218,IL12<IL1<IL10,0.33333333333333337,0.25,0.0,120.0
219,IL1<IL12<IL10,1.0,0.5,0.5,2.0
220,IL1<IL12<IL10,1.0,0.25,0.25,5.75
221,IL1<IL12<IL10,1.0,0.0,0.0,110.75
222,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,0.5
223,IL1<IL12<IL10,1.0,120.0,120.0,120.0
224,IL1<IL12<IL10,1.0,0.25,0.25,3.0
225,IL1<IL12<IL10,1.0,0.5,0.5,120.0
226,IL1<IL12<IL10,1.0,0.25,0.25,120.0
227,IL12<IL10<IL1,-0.33333333333333337,120.0,1.0,5.0
228,IL1<IL12<IL10,1.0,0.25,1.25,120.0
229,IL10<IL12<IL1,-1.0,120.0,17.25,0.0
230,IL12<IL1<IL10,0.33333333333333337,0.25,0.0,27.5
