sample_id,ordering,kendall_tau,t_peak_IL1,t_peak_IL12,t_peak_IL10
508,IL1<IL10<IL12,0.33333333333333337,0.0,0.25,0.0
509,IL12<IL1<IL10,0.33333333333333337,0.75,0.5,120.0
510,IL1<IL12<IL10,1.0,0.0,0.75,120.0
511,IL1<IL12<IL10,1.0,0.25,0.25,25.25
512,IL1<IL12<IL10,1.0,120.0,120.0,120.0
513,IL1<IL12<IL10,1.0,0.25,7.75,120.0
514,IL1<IL12<IL10,1.0,0.25,0.25,120.0
515,IL1<IL12<IL10,1.0,0.25,0.25,12.25
516,IL1<IL12<IL10,1.0,0.5,0.5,2.25
517,IL12<IL1<IL10,0.33333333333333337,0.25,0.0,115.25
518,IL1<IL10<IL12,0.33333333333333337,0.0,11.25,0.0
519,IL1<IL12<IL10,1.0,1.0,8.0,94.75
520,IL10<IL12<IL1,-1.0,2.0,1.25,0.25
521,IL1<IL12<IL10,1.0,0.0,63.0,82.5
