snapshot_h,node,metric,top1_frequency_pct,mean_value,median_value
0,M1,weighted_in,46.54581087702107,87331460.48058762,45080.02743379783
0,M2,weighted_in,46.39882410583048,13027000.45412211,89184.31180601013
0,IL1,weighted_in,3.5276825085742285,1312715.1210555802,140.3287647922886
0,IL12,weighted_in,0.7349338559529642,1150.036154464426,98.69795387701178
0,IL10,weighted_in,2.302792748652621,146797.90628730223,416.9615893213388
0,IL4,weighted_in,0.39196472317491426,51747.192079951266,6.260844280049148
0,D,weighted_in,0.09799118079372857,160.98589524103667,3.489213054087339
0,M1,weighted_out,55.16903478686919,87650956.52184795,130790.68241407722
0,M2,weighted_out,38.75551200391965,11403105.337092802,54158.9762282036
0,IL1,weighted_out,1.1758941695247427,414852.55924130866,338.70760619577914
0,IL12,weighted_out,0.4899559039686428,283436.8841105066,581.0251707393833
0,IL10,weighted_out,2.6947574718275353,1165110.0064948283,4351.763571917301
0,IL4,weighted_out,1.6168544830965212,946500.6746829571,4399.978403385276
0,D,weighted_out,0.09799118079372857,7070.192711936618,0.045960764413351486
0,M1,topology_in,0.7349338559529642,3.629593336599706,4.0
0,M2,topology_in,96.32533072023519,4.843214110730035,5.0
0,IL1,topology_in,2.547770700636943,4.467417932386085,5.0
0,IL12,topology_in,0.0,3.5722684958353748,4.0
0,IL10,topology_in,0.0,2.9980401763841256,3.0
0,IL4,topology_in,0.0,2.9813816756491915,3.0
0,D,topology_in,0.39196472317491426,4.584027437530622,5.0
0,M1,topology_out,0.09799118079372857,3.9524742773150416,4.0
0,M2,topology_out,0.19598236158745713,2.590886820186183,3.0
0,IL1,topology_out,0.0,2.872121509064184,3.0
0,IL12,topology_out,96.12934835864773,5.819206271435571,6.0
0,IL10,topology_out,3.576678098971093,5.844683978441941,6.0
0,IL4,topology_out,0.0,4.860362567368937,5.0
0,D,topology_out,0.0,1.1362077413032827,2.0
24,M1,weighted_in,13.47378735913768,64897.856578234525,58.9568046224356
24,M2,weighted_in,68.05487506124449,1284482.4183092217,5913.382780028649
24,IL1,weighted_in,0.0,1522.1060781719993,0.7206955774677118
24,IL12,weighted_in,0.0,33.713751257790555,0.5363766874046443
24,IL10,weighted_in,15.286624203821656,92240.57962789013,506.8087415524403
24,IL4,weighted_in,3.1847133757961785,19075.177199257905,8.308866990628093
24,D,weighted_in,0.0,4.073744687230569,1.0126181987077454
24,M1,weighted_out,12.738853503184714,89224.24833744239,69.31328190866795
24,M2,weighted_out,61.53846153846154,1238796.3810239558,4852.757154080513
24,IL1,weighted_out,0.19598236158745713,869.8468556881774,3.3035429343439215
24,IL12,weighted_out,0.39196472317491426,226.6945579541596,11.742366942707125
24,IL10,weighted_out,17.883390494855465,105924.09586879231,922.399567450971
24,IL4,weighted_out,7.251347378735913,27212.90217218347,351.5236935571942
24,D,weighted_out,0.0,1.7564727048641573,0.24402405526353438
24,M1,topology_in,6.957373836354728,3.514453699167075,4.0
24,M2,topology_in,81.47966682998529,4.510534051935326,5.0
24,IL1,topology_in,4.605585497305242,3.96031357177854,5.0
24,IL12,topology_in,0.0,3.237138657520823,4.0
24,IL10,topology_in,2.2048015678588926,2.9622733953944147,3.0
24,IL4,topology_in,0.0,2.905438510534052,3.0
24,D,topology_in,4.752572268495835,4.737383635472807,5.0
24,M1,topology_out,0.0,3.2787849093581576,4.0
24,M2,topology_out,6.075453209211171,2.987751102400784,3.0
24,IL1,topology_out,0.04899559039686428,2.603625673689368,3.0
24,IL12,topology_out,74.71827535521804,5.365997060264577,6.0
24,IL10,topology_out,18.618324350808425,5.538461538461538,6.0
24,IL4,topology_out,0.5389514943655072,4.596276335129838,5.0
24,D,topology_out,0.0,1.4566389024987751,2.0
48,M1,weighted_in,12.003919647231749,64845.25597524141,9.40973836457936
48,M2,weighted_in,68.98579127878492,1284407.398406918,5864.356774542048
48,IL1,weighted_in,0.0,1521.6882731937726,0.22156872498685093
48,IL12,weighted_in,0.0,33.66589457810301,0.13111781753600255
48,IL10,weighted_in,15.727584517393433,92244.97041309248,508.3781165714036
48,IL4,weighted_in,3.282704556589907,19075.09589761719,8.43963100385015
48,D,weighted_in,0.0,3.8311683916868016,0.8507705757796156
48,M1,weighted_out,11.513963743263107,89126.81013821553,8.669043281660192
48,M2,weighted_out,63.155316021558065,1238819.8248115117,4825.056080276839
48,IL1,weighted_out,0.09799118079372857,868.6336594866949,0.8506513874342921
48,IL12,weighted_out,0.09799118079372857,215.525987978966,3.0604635871188917
48,IL10,weighted_out,17.8343949044586,105912.32377903529,903.6808570275605
48,IL4,weighted_out,7.300342969132778,27186.9340031434,293.6335107140785
48,D,weighted_out,0.0,1.853649661412708,0.25120335293418133
48,M1,topology_in,11.170994610485057,3.219500244977952,4.0
48,M2,topology_in,74.0813326800588,4.178833904948554,5.0
48,IL1,topology_in,4.997550220480157,3.41156295933366,5.0
48,IL12,topology_in,0.0,2.7814796668299855,4.0
48,IL10,topology_in,3.5276825085742285,2.8343949044585988,3.0
