snapshot_h,n_for_50pct_mass,pct_for_50pct_mass,n_for_90pct_mass,pct_for_90pct_mass
0,9,0.44096031357177856,97,4.752572268495835
24,10,0.4899559039686428,97,4.752572268495835
48,10,0.4899559039686428,97,4.752572268495835
72,10,0.4899559039686428,97,4.752572268495835
120,10,0.4899559039686428,97,4.752572268495835
