snapshot_h,node,d_min,d_p1,d_p10,d_median,d_p90,d_max,frac_at_floor,frac_within_10x_floor,frac_within_100x_floor
0,M1,1e-08,1e-08,1.7310949844825198e-08,0.00012873926906020912,0.010379208226077186,1.177374711183969,0.0926016658500735,0.12640862322390986,0.18471337579617833
0,M2,1e-08,1e-08,5.837782319634277e-07,6.43292256299055e-05,0.0024316274569563534,0.08253364066028546,0.028907398334149927,0.053405193532582065,0.11611954924056835
0,IL1,1e-08,1e-08,1.640544725582167e-05,0.004610478312624816,0.33433299814621564,93.02176468061018,0.017638412542871143,0.030377266046055854,0.05389514943655071
0,IL12,7.74979265250379e-06,3.736320424713002e-05,0.0005667577528916754,0.012383394046494817,1.0343061491934842,162.1461053758636,0.0,0.0,0.0
0,IL10,1e-08,1.642193423814775e-07,1.6642389587220863e-05,0.0011290258566520883,0.021483722387015042,0.35171540110024824,0.0004899559039686428,0.006859382655560999,0.02645761881430671
0,IL4,1e-08,3.0034107210679537e-07,0.0001052075371787975,0.03163270468349744,1.1844210109953694,9.747087729687118,0.004409603135717786,0.007349338559529643,0.018618324350808426
0,D,5.017286957109271e-06,3.7937751509310896e-05,0.0006517707448953885,0.027933866636365944,3.671282644948154,305.56251781179327,0.0,0.0,0.0
24,M1,1e-08,1e-08,1.7310949844825198e-08,0.00012873926906020912,0.010379208226077186,1.177374711183969,0.0926016658500735,0.12640862322390986,0.18471337579617833
24,M2,1e-08,1e-08,5.837782319634277e-07,6.43292256299055e-05,0.0024316274569563534,0.08253364066028546,0.028907398334149927,0.053405193532582065,0.11611954924056835
24,IL1,1e-08,1e-08,1.640544725582167e-05,0.004610478312624816,0.33433299814621564,93.02176468061018,0.017638412542871143,0.030377266046055854,0.05389514943655071
24,IL12,7.74979265250379e-06,3.736320424713002e-05,0.0005667577528916754,0.012383394046494817,1.0343061491934842,162.1461053758636,0.0,0.0,0.0
24,IL10,1e-08,1.642193423814775e-07,1.6642389587220863e-05,0.0011290258566520883,0.021483722387015042,0.35171540110024824,0.0004899559039686428,0.006859382655560999,0.02645761881430671
24,IL4,1e-08,3.0034107210679537e-07,0.0001052075371787975,0.03163270468349744,1.1844210109953694,9.747087729687118,0.004409603135717786,0.007349338559529643,0.018618324350808426
24,D,5.017286957109271e-06,3.7937751509310896e-05,0.0006517707448953885,0.027933866636365944,3.671282644948154,305.56251781179327,0.0,0.0,0.0
48,M1,1e-08,1e-08,1.7310949844825198e-08,0.00012873926906020912,0.010379208226077186,1.177374711183969,0.0926016658500735,0.12640862322390986,0.18471337579617833
48,M2,1e-08,1e-08,5.837782319634277e-07,6.43292256299055e-05,0.0024316274569563534,0.08253364066028546,0.028907398334149927,0.053405193532582065,0.11611954924056835
48,IL1,1e-08,1e-08,1.640544725582167e-05,0.004610478312624816,0.33433299814621564,93.02176468061018,0.017638412542871143,0.030377266046055854,0.05389514943655071
48,IL12,7.74979265250379e-06,3.736320424713002e-05,0.0005667577528916754,0.012383394046494817,1.0343061491934842,162.1461053758636,0.0,0.0,0.0
48,IL10,1e-08,1.642193423814775e-07,1.6642389587220863e-05,0.0011290258566520883,0.021483722387015042,0.35171540110024824,0.0004899559039686428,0.006859382655560999,0.02645761881430671
48,IL4,1e-08,3.0034107210679537e-07,0.0001052075371787975,0.03163270468349744,1.1844210109953694,9.747087729687118,0.004409603135717786,0.007349338559529643,0.018618324350808426
48,D,5.017286957109271e-06,3.7937751509310896e-05,0.0006517707448953885,0.027933866636365944,3.671282644948154,305.56251781179327,0.0,0.0,0.0
72,M1,1e-08,1e-08,1.7310949844825198e-08,0.00012873926906020912,0.010379208226077186,1.177374711183969,0.0926016658500735,0.12640862322390986,0.18471337579617833
72,M2,1e-08,1e-08,5.837782319634277e-07,6.43292256299055e-05,0.0024316274569563534,0.08253364066028546,0.028907398334149927,0.053405193532582065,0.11611954924056835
72,IL1,1e-08,1e-08,1.640544725582167e-05,0.004610478312624816,0.33433299814621564,93.02176468061018,0.017638412542871143,0.030377266046055854,0.05389514943655071
72,IL12,7.74979265250379e-06,3.736320424713002e-05,0.0005667577528916754,0.012383394046494817,1.0343061491934842,162.1461053758636,0.0,0.0,0.0
72,IL10,1e-08,1.642193423814775e-07,1.6642389587220863e-05,0.0011290258566520883,0.021483722387015042,0.35171540110024824,0.0004899559039686428,0.006859382655560999,0.02645761881430671
72,IL4,1e-08,3.0034107210679537e-07,0.0001052075371787975,0.03163270468349744,1.1844210109953694,9.747087729687118,0.004409603135717786,0.007349338559529643,0.018618324350808426
72,D,5.017286957109271e-06,3.7937751509310896e-05,0.0006517707448953885,0.027933866636365944,3.671282644948154,305.56251781179327,0.0,0.0,0.0
120,M1,1e-08,1e-08,1.7310949844825198e-08,0.00012873926906020912,0.010379208226077186,1.177374711183969,0.0926016658500735,0.12640862322390986,0.18471337579617833
120,M2,1e-08,1e-08,5.837782319634277e-07,6.43292256299055e-05,0.0024316274569563534,0.08253364066028546,0.028907398334149927,0.053405193532582065,0.11611954924056835
120,IL1,1e-08,1e-08,1.640544725582167e-05,0.004610478312624816,0.33433299814621564,93.02176468061018,0.017638412542871143,0.030377266046055854,0.05389514943655071
120,IL12,7.74979265250379e-06,3.736320424713002e-05,0.0005667577528916754,0.012383394046494817,1.0343061491934842,162.1461053758636,0.0,0.0,0.0
120,IL10,1e-08,1.642193423814775e-07,1.6642389587220863e-05,0.0011290258566520883,0.021483722387015042,0.35171540110024824,0.0004899559039686428,0.006859382655560999,0.02645761881430671
120,IL4,1e-08,3.0034107210679537e-07,0.0001052075371787975,0.03163270468349744,1.1844210109953694,9.747087729687118,0.004409603135717786,0.007349338559529643,0.018618324350808426
120,D,5.017286957109271e-06,3.7937751509310896e-05,0.0006517707448953885,0.027933866636365944,3.671282644948154,305.56251781179327,0.0,0.0,0.0
